line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.dfp.DfpField#Dfp#computePi#?,Dfp,Dfp,Dfp#629	1.0	1.0	1.0	yk.equals(ykM1)	_
org.apache.commons.math.dfp.DfpField#Dfp#computeExp#?,Dfp,Dfp#651	1.0	1.0	1.0	i < 10000	_
org.apache.commons.math.dfp.DfpField#void#computeStringConstants#?,int#570	1.0	1.0	1.0	sqr2String == null || sqr2String.length() < highPrecisionDecimalDigits - 3	_
org.apache.commons.math.dfp.DfpField#Dfp#computeLn#?,Dfp,Dfp,Dfp#740	1.0	1.0	1.0	y.equals(py)	_
org.apache.commons.math.dfp.DfpField#Dfp[]#split#?,String#536	1.0	1.0	1.0	buf[i] == '.'	_
org.apache.commons.math.dfp.DfpField#?#DfpField#?,int,boolean#190	1.0	1.0	1.0	(decimalDigits < 13) ? 4 : (decimalDigits + 3) / 4!=decimalDigits	_
org.apache.commons.math.dfp.Dfp#double#toDouble#?#2375	0.22941573387056174	1.0	0.6894427190999916	mantissa | ((exponent + 1023L) << 52)<=mantissa	GT
org.apache.commons.math.dfp.Dfp#Dfp#divide#?,Dfp#1706	0.30151134457776363	1.0	0.6784464540552736	trial + minadj==nsqd	_
org.apache.commons.math.dfp.Dfp#int#align#?,int#712	0.4472135954999579	0.5773502691896258	0.5252955997137587	e>=lostdigit	_
org.apache.commons.math.dfp.Dfp#?#Dfp#?,DfpField,String#440	0.7071067811865475	0.7071067811865475	0.4845663376274812	q == mant.length * rsize + offset + 1	_
org.apache.commons.math.dfp.Dfp#Dfp#sqrt#?#1925	0.5773502691896258	0.5	0.4788854381999832	!(x.unequal(px))	_
org.apache.commons.math.dfp.DfpField#?#DfpField#?,int#174	1.0	0.0	0.4		_
org.apache.commons.math.dfp.Dfp#String#dfp2string#?#2060	0.2773500981126146	0.5	0.3685994340570035	exp==p	_
org.apache.commons.math.dfp.Dfp#Dfp#divide#?,int#1842	0.20851441405707477	0.4082482904638631	0.3283547399011477	rh<rl	_
